accession,dataset,biosample,antibiotic,species,mic,phenotype,gtdb_species,gtdb_genus,gtdb_ani,adjusted_mic,adjusted_phenotype
GCA_012993785.1,c24_balance,SAMN12359813,Ciprofloxacin,Escherichia coli,0.015,susceptible,Escherichia coli,Escherichia,0.973427435534892,0.015625,susceptible
GCA_012994025.1,c24_balance,SAMN12359818,Ciprofloxacin,Escherichia coli,0.015,susceptible,Escherichia coli,Escherichia,0.9896334569358504,0.015625,susceptible
GCA_012994165.1,c24_balance,SAMN12359882,Ciprofloxacin,Escherichia coli,0.015,susceptible,Escherichia coli,Escherichia,0.9729048688305194,0.015625,susceptible
GCA_012994325.1,c24_balance,SAMN12359779,Ciprofloxacin,Escherichia coli,0.015,susceptible,Escherichia coli,Escherichia,0.9731713676261516,0.015625,susceptible
GCA_012994805.1,c24_balance,SAMN12359894,Ciprofloxacin,Escherichia coli,0.015,susceptible,Escherichia coli,Escherichia,0.9724271991210162,0.015625,susceptible
GCA_012995025.1,c24_balance,SAMN12359800,Ciprofloxacin,Escherichia coli,0.015,susceptible,Escherichia coli,Escherichia,0.9729293237585654,0.015625,susceptible
GCA_012995185.1,c24_balance,SAMN12359827,Ciprofloxacin,Escherichia coli,0.015,susceptible,Escherichia coli,Escherichia,0.97346133418397,0.015625,susceptible
GCA_012995365.1,c24_balance,SAMN12359953,Ciprofloxacin,Escherichia coli,0.015,susceptible,Escherichia coli,Escherichia,0.971792058980332,0.015625,susceptible
GCA_012995405.1,c24_balance,SAMN12359952,Ciprofloxacin,Escherichia coli,0.015,susceptible,Escherichia coli,Escherichia,0.977354306808373,0.015625,susceptible
GCA_012995845.1,c24_balance,SAMN12359992,Ciprofloxacin,Escherichia coli,0.015,susceptible,Escherichia coli,Escherichia,0.9730715937195474,0.015625,susceptible
GCA_012997545.1,c24_balance,SAMN12359715,Ciprofloxacin,Escherichia coli,0.015,susceptible,Escherichia coli,Escherichia,0.9729347364148744,0.015625,susceptible
GCA_013084385.1,c24_balance,SAMN06015669,Ciprofloxacin,Escherichia coli,0.25,susceptible,Escherichia coli,Escherichia,0.989567014379136,0.25,susceptible
GCA_013084405.1,c24_balance,SAMN06015663,Ciprofloxacin,Escherichia coli,1,resistant,Escherichia coli,Escherichia,0.9739588254192232,1,resistant
GCA_013685075.1,c24_balance,SAMN15298868,Ciprofloxacin,Escherichia coli,0.12,susceptible,Escherichia coli,Escherichia,0.9729809898588504,0.125,susceptible
GCA_014746935.1,c24_balance,SAMN16245124,Ciprofloxacin,Escherichia coli,0.015,susceptible,Escherichia coli,Escherichia,0.9801141293187524,0.015625,susceptible
GCA_014746965.1,c24_balance,SAMN16245137,Ciprofloxacin,Escherichia coli,0.06,susceptible,Escherichia coli,Escherichia,0.970720905330094,0.0625,susceptible
GCA_014747145.1,c24_balance,SAMN16245110,Ciprofloxacin,Escherichia coli,0.015,susceptible,Escherichia coli,Escherichia,0.9745202449603676,0.015625,susceptible
GCA_014747385.1,c24_balance,SAMN16245162,Ciprofloxacin,Escherichia coli,0.015,susceptible,Escherichia coli,Escherichia,0.9737184236914658,0.015625,susceptible
GCA_014747625.1,c24_balance,SAMN16245156,Ciprofloxacin,Escherichia coli,0.015,susceptible,Escherichia coli,Escherichia,0.9724095851463544,0.015625,susceptible
GCA_014747755.1,c24_balance,SAMN16245180,Ciprofloxacin,Escherichia coli,0.015,susceptible,Escherichia coli,Escherichia,0.9715683008877692,0.015625,susceptible
GCA_014748045.1,c24_balance,SAMN16245184,Ciprofloxacin,Escherichia coli,0.015,susceptible,Escherichia coli,Escherichia,0.9726874914297154,0.015625,susceptible
GCA_014748145.1,c24_balance,SAMN16245113,Ciprofloxacin,Escherichia coli,0.015,susceptible,Escherichia coli,Escherichia,0.9809398587666892,0.015625,susceptible
GCA_014942445.1,c24_balance,SAMN16484122,Ciprofloxacin,Escherichia coli,0.015,susceptible,Escherichia coli,Escherichia,0.9982192885950316,0.015625,susceptible
GCA_014942605.1,c24_balance,SAMN16484124,Ciprofloxacin,Escherichia coli,0.12,susceptible,Escherichia coli,Escherichia,0.980612596573724,0.125,susceptible
GCA_014942645.1,c24_balance,SAMN16484127,Ciprofloxacin,Escherichia coli,0.12,susceptible,Escherichia coli,Escherichia,0.9744118793253944,0.125,susceptible
GCA_014942685.1,c24_balance,SAMN16484129,Ciprofloxacin,Escherichia coli,0.12,susceptible,Escherichia coli,Escherichia,0.9727791468825924,0.125,susceptible
GCA_015511245.1,c24_balance,SAMN05178549,Ciprofloxacin,Escherichia coli,1,resistant,Escherichia coli,Escherichia,0.9847394606973598,1,resistant
GCA_015671165.1,c24_balance,SAMN16304328,Ciprofloxacin,Escherichia coli,0.015,susceptible,Escherichia coli,Escherichia,0.985483584090246,0.015625,susceptible
GCA_015671575.1,c24_balance,SAMN16304324,Ciprofloxacin,Escherichia coli,0.12,susceptible,Escherichia coli,Escherichia,0.9723017608983358,0.125,susceptible
GCA_015671605.1,c24_balance,SAMN16304323,Ciprofloxacin,Escherichia coli,0.12,susceptible,Escherichia coli,Escherichia,0.9721445609837496,0.125,susceptible
GCA_015671665.1,c24_balance,SAMN16304318,Ciprofloxacin,Escherichia coli,0.12,susceptible,Escherichia coli,Escherichia,0.9730346240786054,0.125,susceptible
GCA_015671765.1,c24_balance,SAMN16304312,Ciprofloxacin,Escherichia coli,0.12,susceptible,Escherichia coli,Escherichia,0.9720170199086484,0.125,susceptible
GCA_015671795.1,c24_balance,SAMN16304316,Ciprofloxacin,Escherichia coli,0.12,susceptible,Escherichia coli,Escherichia,0.9723947537847114,0.125,susceptible
GCA_015671925.1,c24_balance,SAMN16304300,Ciprofloxacin,Escherichia coli,0.12,susceptible,Escherichia coli,Escherichia,0.9727009709286396,0.125,susceptible
GCA_015671995.1,c24_balance,SAMN16304295,Ciprofloxacin,Escherichia coli,0.12,susceptible,Escherichia coli,Escherichia,0.9720476412020338,0.125,susceptible
GCA_015672035.1,c24_balance,SAMN16304294,Ciprofloxacin,Escherichia coli,0.12,susceptible,Escherichia coli,Escherichia,0.9731821993524196,0.125,susceptible
GCA_015672185.1,c24_balance,SAMN16304286,Ciprofloxacin,Escherichia coli,0.12,susceptible,Escherichia coli,Escherichia,0.971806703552651,0.125,susceptible
GCA_015672245.1,c24_balance,SAMN16304283,Ciprofloxacin,Escherichia coli,0.12,susceptible,Escherichia coli,Escherichia,0.9726372451226288,0.125,susceptible
GCA_015672275.1,c24_balance,SAMN16304282,Ciprofloxacin,Escherichia coli,0.12,susceptible,Escherichia coli,Escherichia,0.9729716954890878,0.125,susceptible
GCA_015672315.1,c24_balance,SAMN16304281,Ciprofloxacin,Escherichia coli,0.12,susceptible,Escherichia coli,Escherichia,0.972735853854692,0.125,susceptible
GCA_015672335.1,c24_balance,SAMN16304280,Ciprofloxacin,Escherichia coli,0.12,susceptible,Escherichia coli,Escherichia,0.9735356822103626,0.125,susceptible
GCA_015672435.1,c24_balance,SAMN16304273,Ciprofloxacin,Escherichia coli,0.12,susceptible,Escherichia coli,Escherichia,0.9729059694180342,0.125,susceptible
GCA_015672475.1,c24_balance,SAMN16304271,Ciprofloxacin,Escherichia coli,0.12,susceptible,Escherichia coli,Escherichia,0.9729539115177666,0.125,susceptible
GCA_015673165.1,c24_balance,SAMN16304228,Ciprofloxacin,Escherichia coli,2,resistant,Escherichia coli,Escherichia,0.972980743012211,2,resistant
GCA_017253795.1,c24_balance,SAMN18106117,Ciprofloxacin,Escherichia coli,4,resistant,Escherichia coli,Escherichia,0.9887238619597692,4,resistant
GCA_017817715.1,c24_test,SAMEA104175497,Ciprofloxacin,Escherichia coli,0.03,susceptible,Escherichia coli,Escherichia,0.9720040847506451,0.03125,susceptible
GCA_017817955.1,c24_test,SAMEA104175489,Ciprofloxacin,Escherichia coli,0.03,susceptible,Escherichia coli,Escherichia,0.9706703666596204,0.03125,susceptible
GCA_017818095.1,c24_test,SAMEA104175479,Ciprofloxacin,Escherichia coli,0.03,susceptible,Escherichia coli,Escherichia,0.970681212210798,0.03125,susceptible
GCA_017818215.1,c24_test,SAMEA104175469,Ciprofloxacin,Escherichia coli,0.25,susceptible,Escherichia coli,Escherichia,0.9877885625489824,0.25,susceptible
GCA_017818255.1,c24_test,SAMEA104175467,Ciprofloxacin,Escherichia coli,0.03,susceptible,Escherichia coli,Escherichia,0.974438784854756,0.03125,susceptible
GCA_017818905.1,c24_test,SAMEA104175435,Ciprofloxacin,Escherichia coli,0.25,susceptible,Escherichia coli,Escherichia,0.9714202842278934,0.25,susceptible
GCA_017819015.1,c24_test,SAMEA104175431,Ciprofloxacin,Escherichia coli,0.25,susceptible,Escherichia coli,Escherichia,0.9877268202982904,0.25,susceptible
GCA_017819555.1,c24_test,SAMEA104175427,Ciprofloxacin,Escherichia coli,0.25,susceptible,Escherichia coli,Escherichia,0.9875299462271858,0.25,susceptible
GCA_017819595.1,c24_test,SAMEA104175424,Ciprofloxacin,Escherichia coli,0.25,susceptible,Escherichia coli,Escherichia,0.98740900040177,0.25,susceptible
GCA_017819675.1,c24_test,SAMEA104175419,Ciprofloxacin,Escherichia coli,0.06,susceptible,Escherichia coli,Escherichia,0.9721672901584488,0.0625,susceptible
GCA_018015155.1,c24_test,SAMEA104175433,Ciprofloxacin,Escherichia coli,0.03,susceptible,Escherichia coli,Escherichia,0.9701614525100356,0.03125,susceptible
GCA_018015235.1,c24_test,SAMEA104175420,Ciprofloxacin,Escherichia coli,0.25,susceptible,Escherichia coli,Escherichia,0.972671115640624,0.25,susceptible
GCA_018094305.1,c24_balance,SAMN05374484,Ciprofloxacin,Escherichia coli,1,resistant,Escherichia coli,Escherichia,0.9847051631359384,1,resistant
GCA_018281945.1,c24_balance,SAMN18988759,Ciprofloxacin,Escherichia coli,0.06,susceptible,Escherichia coli,Escherichia,0.9887881972046916,0.0625,susceptible
GCA_018806295.1,c24_balance,SAMN19233566,Ciprofloxacin,Escherichia coli,0.015,susceptible,Escherichia coli,Escherichia,0.9737494871383576,0.015625,susceptible
GCA_020378425.1,c24_test,SAMEA3993576,Ciprofloxacin,Escherichia coli,0.03,susceptible,Escherichia coli,Escherichia,0.9775357498469754,0.03125,susceptible
GCA_020689865.1,c24_balance,SAMN12990641,Ciprofloxacin,Escherichia coli,0.015,susceptible,Escherichia coli,Escherichia,0.9839419410247936,0.015625,susceptible
GCA_022117775.1,c24_test,SAMEA104107487,Ciprofloxacin,Escherichia coli,0.25,susceptible,Escherichia coli,Escherichia,0.9731003889312472,0.25,susceptible
GCA_022117855.1,c24_test,SAMEA104107548,Ciprofloxacin,Escherichia coli,0.03,susceptible,Escherichia coli,Escherichia,0.9729695983364502,0.03125,susceptible
GCA_022118295.1,c24_test,SAMEA104107472,Ciprofloxacin,Escherichia coli,0.25,susceptible,Escherichia coli,Escherichia,0.974111629080763,0.25,susceptible
GCA_022118995.1,c24_test,SAMEA104107533,Ciprofloxacin,Escherichia coli,0.03,susceptible,Escherichia coli,Escherichia,0.9717760879178728,0.03125,susceptible
GCA_022119115.1,c24_test,SAMEA104107461,Ciprofloxacin,Escherichia coli,0.03,susceptible,Escherichia coli,Escherichia,0.9730952523690558,0.03125,susceptible
GCA_022119295.1,c24_test,SAMEA104107476,Ciprofloxacin,Escherichia coli,8,resistant,Escherichia coli,Escherichia,0.972540338601135,8,resistant
GCA_022119675.1,c24_test,SAMEA104107488,Ciprofloxacin,Escherichia coli,0.25,susceptible,Escherichia coli,Escherichia,0.9744477123160414,0.25,susceptible
GCA_022694385.1,c24_balance,SAMN23402391,Ciprofloxacin,Escherichia coli,64,resistant,Escherichia coli,Escherichia,0.9743274843215348,64,resistant
GCA_022694405.1,c24_balance,SAMN23404404,Ciprofloxacin,Escherichia coli,64,resistant,Escherichia coli,Escherichia,0.9743729264652552,64,resistant
GCA_022758385.1,c24_balance,SAMN23405798,Ciprofloxacin,Escherichia coli,64,resistant,Escherichia coli,Escherichia,0.9731502635686354,64,resistant
GCA_022758785.1,c24_balance,SAMN23390744,Ciprofloxacin,Escherichia coli,64,resistant,Escherichia coli,Escherichia,0.9743367448946284,64,resistant
GCA_023370515.1,c24_balance,SAMN28167288,Ciprofloxacin,Escherichia coli,4,resistant,Escherichia coli,Escherichia,0.9859549393084448,4,resistant
GCA_023370615.1,c24_balance,SAMN28167280,Ciprofloxacin,Escherichia coli,0.25,susceptible,Escherichia coli,Escherichia,0.973757280100166,0.25,susceptible
GCA_023370815.1,c24_balance,SAMN28167259,Ciprofloxacin,Escherichia coli,4,resistant,Escherichia coli,Escherichia,0.9861654598524,4,resistant
GCA_023370895.1,c24_balance,SAMN28167281,Ciprofloxacin,Escherichia coli,4,resistant,Escherichia coli,Escherichia,0.9890806501369728,4,resistant
GCA_023856865.1,c24_balance,SAMN26309287,Ciprofloxacin,Escherichia coli,1,resistant,Escherichia coli,Escherichia,0.9735610117589624,1,resistant
GCA_023857485.1,c24_balance,SAMN26304337,Ciprofloxacin,Escherichia coli,1,resistant,Escherichia coli,Escherichia,0.974061824918174,1,resistant
GCA_023858025.1,c24_balance,SAMN26305204,Ciprofloxacin,Escherichia coli,2,resistant,Escherichia coli,Escherichia,0.977790196700726,2,resistant
GCA_023858185.1,c24_balance,SAMN26308463,Ciprofloxacin,Escherichia coli,1,resistant,Escherichia coli,Escherichia,0.986180704810098,1,resistant
GCA_023858345.1,c24_balance,SAMN26309270,Ciprofloxacin,Escherichia coli,2,resistant,Escherichia coli,Escherichia,0.9735072319543672,2,resistant
GCA_023858625.1,c24_balance,SAMN26309350,Ciprofloxacin,Escherichia coli,2,resistant,Escherichia coli,Escherichia,0.9749115380871772,2,resistant
GCA_023859005.1,c24_balance,SAMN26304601,Ciprofloxacin,Escherichia coli,1,resistant,Escherichia coli,Escherichia,0.973354464481661,1,resistant
GCA_023859105.1,c24_balance,SAMN26308501,Ciprofloxacin,Escherichia coli,1,resistant,Escherichia coli,Escherichia,0.9863331294594442,1,resistant
GCA_023859245.1,c24_balance,SAMN26304563,Ciprofloxacin,Escherichia coli,2,resistant,Escherichia coli,Escherichia,0.9889593173933104,2,resistant
GCA_023859405.1,c24_balance,SAMN26309225,Ciprofloxacin,Escherichia coli,2,resistant,Escherichia coli,Escherichia,0.9892860258532372,2,resistant
GCA_023859705.1,c24_balance,SAMN26308855,Ciprofloxacin,Escherichia coli,2,resistant,Escherichia coli,Escherichia,0.9855278608684124,2,resistant
GCA_023859785.1,c24_balance,SAMN26309252,Ciprofloxacin,Escherichia coli,2,resistant,Escherichia coli,Escherichia,0.9891963269769042,2,resistant
GCA_023860625.1,c24_balance,SAMN26308445,Ciprofloxacin,Escherichia coli,1,resistant,Escherichia coli,Escherichia,0.9734803906909908,1,resistant
GCA_023861205.1,c24_balance,SAMN26304707,Ciprofloxacin,Escherichia coli,1,resistant,Escherichia coli,Escherichia,0.986351549687556,1,resistant
GCA_023861665.1,c24_balance,SAMN26309346,Ciprofloxacin,Escherichia coli,2,resistant,Escherichia coli,Escherichia,0.9752272646597386,2,resistant
GCA_023861945.1,c24_balance,SAMN26308564,Ciprofloxacin,Escherichia coli,2,resistant,Escherichia coli,Escherichia,0.9893044575511852,2,resistant
GCA_023862085.1,c24_balance,SAMN26308877,Ciprofloxacin,Escherichia coli,2,resistant,Escherichia coli,Escherichia,0.9874197680794538,2,resistant
GCA_023862325.1,c24_balance,SAMN26304849,Ciprofloxacin,Escherichia coli,2,resistant,Escherichia coli,Escherichia,0.9745257244002744,2,resistant
GCA_023862405.1,c24_balance,SAMN26305210,Ciprofloxacin,Escherichia coli,2,resistant,Escherichia coli,Escherichia,0.9776470322698666,2,resistant
GCA_023862705.1,c24_balance,SAMN26308456,Ciprofloxacin,Escherichia coli,2,resistant,Escherichia coli,Escherichia,0.977170758729652,2,resistant
GCA_023862925.1,c24_balance,SAMN26304699,Ciprofloxacin,Escherichia coli,1,resistant,Escherichia coli,Escherichia,0.972945673023341,1,resistant
GCA_023863285.1,c24_balance,SAMN26304603,Ciprofloxacin,Escherichia coli,1,resistant,Escherichia coli,Escherichia,0.986268883928279,1,resistant
GCA_023863485.1,c24_balance,SAMN26305231,Ciprofloxacin,Escherichia coli,1,resistant,Escherichia coli,Escherichia,0.9969514432477968,1,resistant
GCA_023863785.1,c24_balance,SAMN26308830,Ciprofloxacin,Escherichia coli,2,resistant,Escherichia coli,Escherichia,0.9863589192324512,2,resistant
GCA_023863845.1,c24_balance,SAMN26308848,Ciprofloxacin,Escherichia coli,2,resistant,Escherichia coli,Escherichia,0.9861883385503304,2,resistant
GCA_023863885.1,c24_balance,SAMN26304761,Ciprofloxacin,Escherichia coli,2,resistant,Escherichia coli,Escherichia,0.9859405604040468,2,resistant
GCA_023865495.1,c24_balance,SAMN26304783,Ciprofloxacin,Escherichia coli,1,resistant,Escherichia coli,Escherichia,0.9899516695299492,1,resistant
GCA_023865535.1,c24_balance,SAMN26305292,Ciprofloxacin,Escherichia coli,1,resistant,Escherichia coli,Escherichia,0.9734734039270068,1,resistant
GCA_023865955.1,c24_balance,SAMN26309384,Ciprofloxacin,Escherichia coli,1,resistant,Escherichia coli,Escherichia,0.97374678340638,1,resistant
GCA_023866075.1,c24_balance,SAMN26308701,Ciprofloxacin,Escherichia coli,2,resistant,Escherichia coli,Escherichia,0.972418055198867,2,resistant
GCA_023866155.1,c24_balance,SAMN26309367,Ciprofloxacin,Escherichia coli,2,resistant,Escherichia coli,Escherichia,0.973326189956478,2,resistant
GCA_023866255.1,c24_balance,SAMN26309235,Ciprofloxacin,Escherichia coli,2,resistant,Escherichia coli,Escherichia,0.9891140995520096,2,resistant
GCA_023866355.1,c24_balance,SAMN26304438,Ciprofloxacin,Escherichia coli,2,resistant,Escherichia coli,Escherichia,0.9885671295129476,2,resistant
GCA_023866555.1,c24_balance,SAMN26309228,Ciprofloxacin,Escherichia coli,2,resistant,Escherichia coli,Escherichia,0.9890321953470232,2,resistant
GCA_023866585.1,c24_balance,SAMN26308831,Ciprofloxacin,Escherichia coli,2,resistant,Escherichia coli,Escherichia,0.9862100322749532,2,resistant
GCA_023866635.1,c24_balance,SAMN26308414,Ciprofloxacin,Escherichia coli,2,resistant,Escherichia coli,Escherichia,0.9737359144416756,2,resistant
GCA_023866815.1,c24_balance,SAMN26304785,Ciprofloxacin,Escherichia coli,1,resistant,Escherichia coli,Escherichia,0.9896316152465516,1,resistant
GCA_023866835.1,c24_balance,SAMN26308822,Ciprofloxacin,Escherichia coli,2,resistant,Escherichia coli,Escherichia,0.9860466569535408,2,resistant
GCA_023866855.1,c24_balance,SAMN26304385,Ciprofloxacin,Escherichia coli,1,resistant,Escherichia coli,Escherichia,0.9859980016699874,1,resistant
GCA_023866955.1,c24_balance,SAMN26304606,Ciprofloxacin,Escherichia coli,2,resistant,Escherichia coli,Escherichia,0.9890280351304228,2,resistant
GCA_023867095.1,c24_balance,SAMN26308821,Ciprofloxacin,Escherichia coli,2,resistant,Escherichia coli,Escherichia,0.9860498363236226,2,resistant
GCA_023867235.1,c24_balance,SAMN26308413,Ciprofloxacin,Escherichia coli,1,resistant,Escherichia coli,Escherichia,0.9730535722651376,1,resistant
GCA_023867295.1,c24_balance,SAMN26308479,Ciprofloxacin,Escherichia coli,1,resistant,Escherichia coli,Escherichia,0.986343345631544,1,resistant
GCA_023867395.1,c24_balance,SAMN26304552,Ciprofloxacin,Escherichia coli,2,resistant,Escherichia coli,Escherichia,0.9864534226044704,2,resistant
GCA_023867655.1,c24_balance,SAMN26304527,Ciprofloxacin,Escherichia coli,2,resistant,Escherichia coli,Escherichia,0.9891600890232356,2,resistant
GCA_023867935.1,c24_balance,SAMN26308478,Ciprofloxacin,Escherichia coli,1,resistant,Escherichia coli,Escherichia,0.9863465577439172,1,resistant
GCA_023868015.1,c24_balance,SAMN26305181,Ciprofloxacin,Escherichia coli,2,resistant,Escherichia coli,Escherichia,0.9864241917264543,2,resistant
GCA_023868045.1,c24_balance,SAMN26308834,Ciprofloxacin,Escherichia coli,2,resistant,Escherichia coli,Escherichia,0.9862218604239896,2,resistant
GCA_023868135.1,c24_balance,SAMN26308477,Ciprofloxacin,Escherichia coli,1,resistant,Escherichia coli,Escherichia,0.986332184368138,1,resistant
GCA_023868535.1,c24_balance,SAMN26308756,Ciprofloxacin,Escherichia coli,1,resistant,Escherichia coli,Escherichia,0.974320260853077,1,resistant
GCA_023868765.1,c24_balance,SAMN26304662,Ciprofloxacin,Escherichia coli,2,resistant,Escherichia coli,Escherichia,0.988880657481882,2,resistant
GCA_023869285.1,c24_balance,SAMN26304605,Ciprofloxacin,Escherichia coli,1,resistant,Escherichia coli,Escherichia,0.9856057176067746,1,resistant
GCA_023869405.1,c24_balance,SAMN26305017,Ciprofloxacin,Escherichia coli,1,resistant,Escherichia coli,Escherichia,0.986220954255944,1,resistant
GCA_023869525.1,c24_balance,SAMN26309418,Ciprofloxacin,Escherichia coli,2,resistant,Escherichia coli,Escherichia,0.9888643143952472,2,resistant
GCA_023869665.1,c24_balance,SAMN26309348,Ciprofloxacin,Escherichia coli,2,resistant,Escherichia coli,Escherichia,0.9752345914579802,2,resistant
GCA_023869765.1,c24_balance,SAMN26309322,Ciprofloxacin,Escherichia coli,2,resistant,Escherichia coli,Escherichia,0.973555061994081,2,resistant
GCA_023869965.1,c24_balance,SAMN26304667,Ciprofloxacin,Escherichia coli,1,resistant,Escherichia coli,Escherichia,0.9729688102104556,1,resistant
GCA_023870115.1,c24_balance,SAMN26304941,Ciprofloxacin,Escherichia coli,2,resistant,Escherichia coli,Escherichia,0.972713757053909,2,resistant
GCA_023870365.1,c24_balance,SAMN26309313,Ciprofloxacin,Escherichia coli,1,resistant,Escherichia coli,Escherichia,0.9738000807642608,1,resistant
GCA_023870945.1,c24_balance,SAMN26304682,Ciprofloxacin,Escherichia coli,1,resistant,Escherichia coli,Escherichia,0.9778791345252636,1,resistant
GCA_023871405.1,c24_balance,SAMN26308358,Ciprofloxacin,Escherichia coli,1,resistant,Escherichia coli,Escherichia,0.9884968200292265,1,resistant
GCA_023871645.1,c24_balance,SAMN26308891,Ciprofloxacin,Escherichia coli,2,resistant,Escherichia coli,Escherichia,0.9864109885129392,2,resistant
GCA_023871805.1,c24_balance,SAMN26309412,Ciprofloxacin,Escherichia coli,1,resistant,Escherichia coli,Escherichia,0.986339368063507,1,resistant
GCA_023871955.1,c24_balance,SAMN26304343,Ciprofloxacin,Escherichia coli,1,resistant,Escherichia coli,Escherichia,0.989529875377128,1,resistant
GCA_023872105.1,c24_balance,SAMN26308494,Ciprofloxacin,Escherichia coli,1,resistant,Escherichia coli,Escherichia,0.9862686071084468,1,resistant
GCA_023872205.1,c24_balance,SAMN26304824,Ciprofloxacin,Escherichia coli,2,resistant,Escherichia coli,Escherichia,0.9891838984697188,2,resistant
GCA_023874465.1,c24_balance,SAMN26308569,Ciprofloxacin,Escherichia coli,2,resistant,Escherichia coli,Escherichia,0.9892021650168852,2,resistant
GCA_023874725.1,c24_balance,SAMN26308687,Ciprofloxacin,Escherichia coli,1,resistant,Escherichia coli,Escherichia,0.9890255775372648,1,resistant
GCA_023875385.1,c24_balance,SAMN26308634,Ciprofloxacin,Escherichia coli,1,resistant,Escherichia coli,Escherichia,0.9972644834704696,1,resistant
GCA_023875775.1,c24_balance,SAMN26308781,Ciprofloxacin,Escherichia coli,2,resistant,Escherichia coli,Escherichia,0.9857048130136,2,resistant
GCA_023875805.1,c24_balance,SAMN26304704,Ciprofloxacin,Escherichia coli,1,resistant,Escherichia coli,Escherichia,0.9862747060802464,1,resistant
GCA_023875945.1,c24_balance,SAMN26309257,Ciprofloxacin,Escherichia coli,2,resistant,Escherichia coli,Escherichia,0.9885812801973136,2,resistant
GCA_023876255.1,c24_balance,SAMN26304425,Ciprofloxacin,Escherichia coli,1,resistant,Escherichia coli,Escherichia,0.989762808902956,1,resistant
GCA_023876345.1,c24_balance,SAMN26308991,Ciprofloxacin,Escherichia coli,1,resistant,Escherichia coli,Escherichia,0.9730522320409458,1,resistant
GCA_023876455.1,c24_balance,SAMN26304403,Ciprofloxacin,Escherichia coli,1,resistant,Escherichia coli,Escherichia,0.9979976738329996,1,resistant
GCA_023876565.1,c24_balance,SAMN26304713,Ciprofloxacin,Escherichia coli,1,resistant,Escherichia coli,Escherichia,0.9733160027907584,1,resistant
GCA_023876605.1,c24_balance,SAMN26308464,Ciprofloxacin,Escherichia coli,1,resistant,Escherichia coli,Escherichia,0.9861582216012568,1,resistant
GCA_023877005.1,c24_balance,SAMN26308483,Ciprofloxacin,Escherichia coli,1,resistant,Escherichia coli,Escherichia,0.9864919268690886,1,resistant
GCA_023877045.1,c24_balance,SAMN26305032,Ciprofloxacin,Escherichia coli,1,resistant,Escherichia coli,Escherichia,0.9863591152485078,1,resistant
GCA_023877945.1,c24_balance,SAMN26308869,Ciprofloxacin,Escherichia coli,2,resistant,Escherichia coli,Escherichia,0.9863667053810122,2,resistant
GCA_023877985.1,c24_balance,SAMN26308892,Ciprofloxacin,Escherichia coli,1,resistant,Escherichia coli,Escherichia,0.986511486289159,1,resistant
GCA_023878265.1,c24_balance,SAMN26304623,Ciprofloxacin,Escherichia coli,2,resistant,Escherichia coli,Escherichia,0.9862937951018174,2,resistant
GCA_023878365.1,c24_balance,SAMN26304573,Ciprofloxacin,Escherichia coli,1,resistant,Escherichia coli,Escherichia,0.9745334018047976,1,resistant
GCA_023878505.1,c24_balance,SAMN26304539,Ciprofloxacin,Escherichia coli,2,resistant,Escherichia coli,Escherichia,0.986489331327476,2,resistant
GCA_023878845.1,c24_balance,SAMN26309325,Ciprofloxacin,Escherichia coli,2,resistant,Escherichia coli,Escherichia,0.9719168896566523,2,resistant
GCA_023878925.1,c24_balance,SAMN26304504,Ciprofloxacin,Escherichia coli,2,resistant,Escherichia coli,Escherichia,0.9860244105435788,2,resistant
GCA_023879345.1,c24_balance,SAMN26308465,Ciprofloxacin,Escherichia coli,1,resistant,Escherichia coli,Escherichia,0.986477409729624,1,resistant
GCA_023879585.1,c24_balance,SAMN26309209,Ciprofloxacin,Escherichia coli,2,resistant,Escherichia coli,Escherichia,0.9891716578862586,2,resistant
GCA_023880385.1,c24_balance,SAMN26308861,Ciprofloxacin,Escherichia coli,2,resistant,Escherichia coli,Escherichia,0.9863464145215862,2,resistant
GCA_023880465.1,c24_balance,SAMN26304909,Ciprofloxacin,Escherichia coli,2,resistant,Escherichia coli,Escherichia,0.9864715356276368,2,resistant
GCA_023880545.1,c24_balance,SAMN26308635,Ciprofloxacin,Escherichia coli,1,resistant,Escherichia coli,Escherichia,0.9972682799501764,1,resistant
GCA_023880825.1,c24_balance,SAMN26304574,Ciprofloxacin,Escherichia coli,2,resistant,Escherichia coli,Escherichia,0.9859761784811644,2,resistant
GCA_023881035.1,c24_balance,SAMN26304873,Ciprofloxacin,Escherichia coli,1,resistant,Escherichia coli,Escherichia,0.9860411794691072,1,resistant
GCA_023881055.1,c24_balance,SAMN26309372,Ciprofloxacin,Escherichia coli,2,resistant,Escherichia coli,Escherichia,0.972919844035983,2,resistant
GCA_023881085.1,c24_balance,SAMN26308843,Ciprofloxacin,Escherichia coli,2,resistant,Escherichia coli,Escherichia,0.9860873472736226,2,resistant
GCA_023881585.1,c24_balance,SAMN26308804,Ciprofloxacin,Escherichia coli,2,resistant,Escherichia coli,Escherichia,0.9860541542663296,2,resistant
GCA_023881885.1,c24_balance,SAMN26308800,Ciprofloxacin,Escherichia coli,2,resistant,Escherichia coli,Escherichia,0.986201852402382,2,resistant
GCA_023882165.1,c24_balance,SAMN26305014,Ciprofloxacin,Escherichia coli,2,resistant,Escherichia coli,Escherichia,0.973857514152084,2,resistant
GCA_023882185.1,c24_balance,SAMN26304689,Ciprofloxacin,Escherichia coli,1,resistant,Escherichia coli,Escherichia,0.9727425307772036,1,resistant
